#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARPC5	FCGR2A	9606.ENSP00000294742	9606.ENSP00000271450	0	0	0	0	0.062	0	0.900	0	0.902
ARPC5	FBLIM1	9606.ENSP00000294742	9606.ENSP00000416387	0	0	0	0	0	0	0	0.473	0.473
ARPC5	RHOA	9606.ENSP00000294742	9606.ENSP00000400175	0	0	0	0	0.381	0	0	0.189	0.477
ARPC5	CFL1	9606.ENSP00000294742	9606.ENSP00000432660	0	0	0	0	0.085	0	0	0.513	0.536
ARPC5	CDC42	9606.ENSP00000294742	9606.ENSP00000383118	0	0	0	0	0.270	0.131	0.600	0.335	0.808
ARPC5	FCGR1A	9606.ENSP00000294742	9606.ENSP00000358165	0	0	0	0	0.062	0	0.900	0	0.902
ARRDC4	MRPL28	9606.ENSP00000268042	9606.ENSP00000199706	0	0	0	0	0	0	0	0.459	0.459
ARRDC4	FAM81B	9606.ENSP00000268042	9606.ENSP00000283357	0	0	0	0	0	0	0	0.442	0.442
ARRDC4	ITCH	9606.ENSP00000268042	9606.ENSP00000480499	0	0	0	0	0.062	0.378	0	0.238	0.517
ARRDC4	TXN	9606.ENSP00000268042	9606.ENSP00000363641	0	0	0	0	0	0.056	0	0.618	0.625
ARRDC4	SAG	9606.ENSP00000268042	9606.ENSP00000386444	0	0	0	0	0	0	0	0.679	0.679
ARRDC4	NEDD4L	9606.ENSP00000268042	9606.ENSP00000383199	0	0	0	0	0.062	0.378	0	0.615	0.756
ASB3	ASB4	9606.ENSP00000313756	9606.ENSP00000321388	0	0	0.407	0.567	0	0	0	0.725	0.447
ASB3	WSB2	9606.ENSP00000313756	9606.ENSP00000409131	0	0	0	0	0	0.122	0	0.466	0.511
ASB4	COMMD9	9606.ENSP00000321388	9606.ENSP00000263401	0	0	0	0	0	0	0.600	0	0.600
ASB4	COMMD10	9606.ENSP00000321388	9606.ENSP00000274458	0	0	0	0	0	0	0.600	0	0.600
ASB4	PEG3	9606.ENSP00000321388	9606.ENSP00000326581	0	0	0	0	0.049	0.078	0	0.390	0.419
ASB4	GRB10	9606.ENSP00000321388	9606.ENSP00000381793	0	0	0	0	0.062	0.060	0	0.428	0.451
ASB4	UCP3	9606.ENSP00000321388	9606.ENSP00000323740	0	0	0	0	0.425	0	0	0.236	0.542
ASB4	COMMD8	9606.ENSP00000321388	9606.ENSP00000370984	0	0	0	0	0	0	0.600	0	0.600
ASPA	RIMKLA	9606.ENSP00000263080	9606.ENSP00000414330	0.042	0	0	0	0	0	0.900	0.377	0.935
ATF3	MAPK1	9606.ENSP00000344352	9606.ENSP00000215832	0	0	0	0	0	0.248	0	0.311	0.460
ATF3	EGR2	9606.ENSP00000344352	9606.ENSP00000242480	0	0	0	0	0.176	0.062	0	0.512	0.590
ATF3	JUND	9606.ENSP00000344352	9606.ENSP00000252818	0	0	0	0	0.065	0.599	0	0.937	0.974
ATF3	IL1B	9606.ENSP00000344352	9606.ENSP00000263341	0	0	0	0	0.105	0	0	0.492	0.526
ATF3	STAT3	9606.ENSP00000344352	9606.ENSP00000264657	0	0	0	0	0.062	0.492	0	0.558	0.771
ATF3	PPARG	9606.ENSP00000344352	9606.ENSP00000287820	0	0	0	0	0	0.082	0	0.433	0.458
ATF3	HOMER2	9606.ENSP00000344352	9606.ENSP00000305632	0	0	0	0	0	0	0	0.443	0.443
ATF3	CREB3	9606.ENSP00000344352	9606.ENSP00000342136	0	0	0	0	0	0.271	0	0.293	0.462
ATF3	GCLM	9606.ENSP00000344352	9606.ENSP00000359258	0	0	0	0	0.062	0	0	0.388	0.402
ATF3	SLC2A1	9606.ENSP00000344352	9606.ENSP00000416293	0	0	0	0	0	0	0	0.450	0.450
ATF3	TLR4	9606.ENSP00000344352	9606.ENSP00000363089	0	0	0	0	0.062	0.056	0	0.458	0.478
ATF3	ERN1	9606.ENSP00000344352	9606.ENSP00000401445	0	0	0	0	0	0.064	0	0.522	0.533
ATF3	TNF	9606.ENSP00000344352	9606.ENSP00000398698	0	0	0	0	0.076	0	0	0.522	0.540
ATF3	STAT1	9606.ENSP00000344352	9606.ENSP00000354394	0	0	0	0	0	0.345	0	0.395	0.587
ATF3	IL6	9606.ENSP00000344352	9606.ENSP00000385675	0	0	0	0	0.148	0	0	0.562	0.611
ATF3	NR4A2	9606.ENSP00000344352	9606.ENSP00000344479	0	0	0	0	0.195	0.146	0	0.515	0.637
ATF3	KLF6	9606.ENSP00000344352	9606.ENSP00000419923	0	0	0	0	0.689	0.062	0	0.550	0.857
ATF3	JUN	9606.ENSP00000344352	9606.ENSP00000360266	0	0	0	0	0.861	0.923	0.900	0.994	0.999
ATG2B	SH3GLB1	9606.ENSP00000353010	9606.ENSP00000479919	0	0	0	0	0	0	0	0.625	0.625
ATL3	RTN1	9606.ENSP00000381844	9606.ENSP00000267484	0	0	0	0	0.063	0.148	0	0.578	0.633
ATL3	SEC31A	9606.ENSP00000381844	9606.ENSP00000378721	0	0	0	0	0.064	0	0	0.417	0.430
ATP1A1	MAPK1	9606.ENSP00000445306	9606.ENSP00000215832	0	0	0	0	0.064	0.282	0.600	0.094	0.724
ATP1A1	ATP1B2	9606.ENSP00000445306	9606.ENSP00000250111	0	0	0	0	0.063	0.504	0.800	0.708	0.969
ATP1A1	EPCAM	9606.ENSP00000445306	9606.ENSP00000263735	0	0	0	0	0	0.339	0	0.135	0.403
ATP1A1	FXYD2	9606.ENSP00000445306	9606.ENSP00000292079	0	0	0	0	0.062	0.951	0.800	0.733	0.997
ATP1A1	CD58	9606.ENSP00000445306	9606.ENSP00000358501	0	0	0	0	0	0	0	0.520	0.520
ATP1A1	NRAS	9606.ENSP00000445306	9606.ENSP00000358548	0	0	0	0	0	0.302	0	0.517	0.648
ATP1B2	MAPK1	9606.ENSP00000250111	9606.ENSP00000215832	0	0	0	0	0	0	0.600	0	0.600
ATP1B2	TSPAN3	9606.ENSP00000250111	9606.ENSP00000267970	0	0	0	0	0	0	0	0.492	0.492
ATP1B2	SNRNP70	9606.ENSP00000250111	9606.ENSP00000472998	0	0	0	0	0	0.058	0	0.566	0.573
ATP1B2	BSG	9606.ENSP00000250111	9606.ENSP00000333769	0	0	0	0	0.062	0	0.600	0.440	0.771
ATP1B2	FXYD2	9606.ENSP00000250111	9606.ENSP00000292079	0	0	0	0	0	0.369	0.800	0.436	0.922
ATP6AP2	TGFB1	9606.ENSP00000367697	9606.ENSP00000221930	0	0	0	0	0	0	0	0.484	0.484
ATP6AP2	SERPINE1	9606.ENSP00000367697	9606.ENSP00000223095	0	0	0	0	0	0	0	0.408	0.408
ATP6AP2	ATP6V1B2	9606.ENSP00000367697	9606.ENSP00000276390	0	0	0	0	0.533	0.890	0.360	0.648	0.987
ATP6AP2	PPARG	9606.ENSP00000367697	9606.ENSP00000287820	0	0	0	0	0	0	0	0.460	0.461
ATP6AP2	ATP6V0D1	9606.ENSP00000367697	9606.ENSP00000290949	0	0	0	0	0.483	0.904	0.720	0.828	0.997
ATP6AP2	ATP6V0C	9606.ENSP00000367697	9606.ENSP00000329757	0	0	0	0	0.118	0.878	0.360	0.694	0.976
ATP6AP2	GNB1	9606.ENSP00000367697	9606.ENSP00000481878	0	0	0	0	0	0	0	0.471	0.471
ATP6V0C	ATP6V1B2	9606.ENSP00000329757	9606.ENSP00000276390	0.093	0	0	0	0.196	0.922	0.800	0.839	0.997
ATP6V0C	RFX5	9606.ENSP00000329757	9606.ENSP00000290524	0	0	0	0	0	0	0	0.492	0.492
ATP6V0C	ATP6V0D1	9606.ENSP00000329757	9606.ENSP00000290949	0.093	0	0	0	0.301	0.884	0.800	0.846	0.997
ATP6V0C	C7orf60	9606.ENSP00000329757	9606.ENSP00000297145	0	0	0	0	0	0	0.900	0	0.900
ATP6V0C	PPARA	9606.ENSP00000329757	9606.ENSP00000385523	0	0	0	0	0.051	0.056	0	0.389	0.404
ATP6V0C	RHOA	9606.ENSP00000329757	9606.ENSP00000400175	0	0	0	0	0.062	0.056	0	0.449	0.470
ATP6V0C	MRPL2	9606.ENSP00000329757	9606.ENSP00000373404	0.059	0	0	0	0.166	0	0	0.431	0.514
ATP6V0C	NSF	9606.ENSP00000329757	9606.ENSP00000381293	0	0	0	0	0.087	0	0	0.631	0.649
ATP6V0C	PPA1	9606.ENSP00000329757	9606.ENSP00000362329	0	0	0	0	0.085	0.056	0.650	0.398	0.793
ATP6V0D1	YKT6	9606.ENSP00000290949	9606.ENSP00000223369	0	0	0	0	0.355	0.101	0	0.108	0.437
ATP6V0D1	TUBG1	9606.ENSP00000290949	9606.ENSP00000251413	0	0	0	0	0.451	0	0	0	0.451
ATP6V0D1	ATP6V1B2	9606.ENSP00000290949	9606.ENSP00000276390	0.167	0	0	0	0.661	0.807	0.800	0.803	0.997
ATP6V0D1	PPA1	9606.ENSP00000290949	9606.ENSP00000362329	0	0	0	0	0.064	0	0.650	0.042	0.658
ATP6V0D1	C7orf60	9606.ENSP00000290949	9606.ENSP00000297145	0	0	0	0	0	0	0.900	0	0.900
ATP6V1B2	PRDX1	9606.ENSP00000276390	9606.ENSP00000262746	0	0	0	0	0.065	0.348	0	0.105	0.406
ATP6V1B2	YWHAZ	9606.ENSP00000276390	9606.ENSP00000379287	0	0	0	0	0.088	0.114	0	0.344	0.424
ATP6V1B2	PSMC3	9606.ENSP00000276390	9606.ENSP00000481029	0	0	0	0	0.069	0.272	0	0.258	0.453
ATP6V1B2	PPA1	9606.ENSP00000276390	9606.ENSP00000362329	0	0	0	0	0.107	0	0.650	0.098	0.693
ATP6V1B2	C7orf60	9606.ENSP00000276390	9606.ENSP00000297145	0	0	0	0	0	0	0.900	0	0.900
ATP9A	SRSF5	9606.ENSP00000342481	9606.ENSP00000452123	0	0	0	0	0.449	0	0	0	0.449
B3GAT1	DCN	9606.ENSP00000433847	9606.ENSP00000052754	0	0	0	0	0	0	0.900	0.067	0.902
B3GAT1	KLRB1	9606.ENSP00000433847	9606.ENSP00000229402	0	0	0	0	0	0	0	0.604	0.604
B3GAT1	NCAN	9606.ENSP00000433847	9606.ENSP00000252575	0	0	0	0	0.316	0	0.900	0.088	0.932
B3GAT1	CCR5	9606.ENSP00000433847	9606.ENSP00000292303	0	0	0	0	0	0	0	0.501	0.501
B3GAT1	CTLA4	9606.ENSP00000433847	9606.ENSP00000303939	0	0	0	0	0	0	0	0.752	0.752
B3GAT1	FUT4	9606.ENSP00000433847	9606.ENSP00000351602	0	0	0	0	0	0	0	0.556	0.556
B3GAT1	CSGALNACT2	9606.ENSP00000433847	9606.ENSP00000363590	0	0	0	0	0	0	0	0.558	0.558
B3GAT1	GPC3	9606.ENSP00000433847	9606.ENSP00000377836	0	0	0	0	0.062	0	0.900	0.211	0.919
B3GAT1	IL6	9606.ENSP00000433847	9606.ENSP00000385675	0	0	0	0	0	0	0	0.556	0.556
B3GAT1	TNF	9606.ENSP00000433847	9606.ENSP00000398698	0	0	0	0	0	0	0	0.558	0.558
B3GAT1	ITGAX	9606.ENSP00000433847	9606.ENSP00000454623	0	0	0	0	0	0	0	0.451	0.451
B3GAT1	ITGAM	9606.ENSP00000433847	9606.ENSP00000441691	0	0	0	0	0	0	0	0.507	0.507
B9D1	TTC21B	9606.ENSP00000261499	9606.ENSP00000243344	0	0	0	0	0	0	0	0.471	0.471
B9D1	IFT172	9606.ENSP00000261499	9606.ENSP00000260570	0	0	0	0	0.063	0	0	0.576	0.585
B9D1	IFT52	9606.ENSP00000261499	9606.ENSP00000362121	0	0	0	0	0.064	0	0	0.508	0.520
BAX	SIRT1	9606.ENSP00000293288	9606.ENSP00000212015	0	0	0	0	0	0	0.900	0.401	0.937
BAX	PRDX1	9606.ENSP00000293288	9606.ENSP00000262746	0	0	0	0	0	0.684	0	0.134	0.714
BAX	IL1B	9606.ENSP00000293288	9606.ENSP00000263341	0	0	0	0	0.049	0	0	0.465	0.469
BAX	STAT3	9606.ENSP00000293288	9606.ENSP00000264657	0	0	0	0	0	0.069	0	0.421	0.437
BAX	BCL2A1	9606.ENSP00000293288	9606.ENSP00000267953	0	0	0	0	0	0.270	0	0.369	0.519
BAX	CASP1	9606.ENSP00000293288	9606.ENSP00000433138	0	0	0	0	0	0.178	0	0.318	0.416
BAX	IL6	9606.ENSP00000293288	9606.ENSP00000385675	0	0	0	0	0	0	0	0.459	0.459
BAX	TNF	9606.ENSP00000293288	9606.ENSP00000398698	0	0	0	0	0	0.059	0	0.457	0.467
BAX	HSPA4	9606.ENSP00000293288	9606.ENSP00000302961	0	0	0	0	0.042	0.270	0	0.391	0.536
BAX	JUN	9606.ENSP00000293288	9606.ENSP00000360266	0	0	0	0	0	0	0	0.558	0.558
BAX	ERN1	9606.ENSP00000293288	9606.ENSP00000401445	0	0	0	0	0	0.282	0	0.501	0.627
BAX	SH3GLB1	9606.ENSP00000293288	9606.ENSP00000479919	0	0	0	0	0	0.677	0	0.142	0.711
BAX	HKDC1	9606.ENSP00000293288	9606.ENSP00000346643	0	0	0	0	0	0	0.800	0	0.800
BAX	HK1	9606.ENSP00000293288	9606.ENSP00000402103	0	0	0	0	0	0	0.800	0.072	0.806
BAX	CYCS	9606.ENSP00000293288	9606.ENSP00000307786	0	0	0	0	0.042	0.281	0.900	0.767	0.981
BAX	BCL2	9606.ENSP00000293288	9606.ENSP00000381185	0	0	0	0.645	0	0.981	0.900	0.758	0.998
BCAT1	GSS	9606.ENSP00000443459	9606.ENSP00000216951	0	0	0	0	0.065	0.726	0	0.055	0.736
BCAT1	GCLC	9606.ENSP00000443459	9606.ENSP00000229416	0	0	0	0	0.066	0	0.900	0.174	0.916
BCAT1	TP53I3	9606.ENSP00000443459	9606.ENSP00000238721	0	0	0	0	0	0	0	0.502	0.503
BCAT1	ENOPH1	9606.ENSP00000443459	9606.ENSP00000273920	0	0	0	0	0	0.726	0	0.137	0.753
BCAT1	RBKS	9606.ENSP00000443459	9606.ENSP00000306817	0	0	0	0	0.062	0.726	0	0.143	0.760
BCAT1	TYMS	9606.ENSP00000443459	9606.ENSP00000315644	0.181	0	0	0	0.102	0	0	0.436	0.549
BCAT1	BOLA2	9606.ENSP00000443459	9606.ENSP00000331127	0	0	0	0	0.052	0.526	0	0	0.531
BCAT1	GCLM	9606.ENSP00000443459	9606.ENSP00000359258	0	0	0	0	0.056	0.207	0.900	0.231	0.934
BCAT1	MTHFR	9606.ENSP00000443459	9606.ENSP00000365777	0.218	0	0	0	0	0	0	0.288	0.419
BCAT1	LDHB	9606.ENSP00000443459	9606.ENSP00000379386	0.071	0	0	0	0.115	0	0.600	0.276	0.730
BCL2	MAPK1	9606.ENSP00000381185	9606.ENSP00000215832	0	0	0	0	0	0.462	0.900	0.222	0.954
BCL2	RAF1	9606.ENSP00000381185	9606.ENSP00000251849	0	0	0	0	0	0.865	0	0.162	0.882
BCL2	STAT3	9606.ENSP00000381185	9606.ENSP00000264657	0	0	0	0	0	0.153	0.900	0.307	0.936
BCL2	BCL2A1	9606.ENSP00000381185	9606.ENSP00000267953	0	0	0	0.701	0.070	0	0.900	0.380	0.913
BCL2	IGF1	9606.ENSP00000381185	9606.ENSP00000302665	0	0	0	0	0	0	0	0.413	0.413
BCL2	CYCS	9606.ENSP00000381185	9606.ENSP00000307786	0	0	0	0	0	0.225	0.900	0.619	0.967
BCL2	PRKAA2	9606.ENSP00000381185	9606.ENSP00000360290	0	0	0	0	0	0	0	0.434	0.434
BCL2	HIST1H2AC	9606.ENSP00000381185	9606.ENSP00000367022	0	0	0	0	0	0	0.900	0	0.900
BCL2	BNIP3L	9606.ENSP00000381185	9606.ENSP00000370003	0	0	0	0	0	0.494	0	0.231	0.594
BCL2	CDC42	9606.ENSP00000381185	9606.ENSP00000383118	0	0	0	0	0	0	0	0.400	0.400
BCL2A1	DKK4	9606.ENSP00000267953	9606.ENSP00000220812	0	0	0	0	0	0	0	0.538	0.538
BCL2A1	IL1B	9606.ENSP00000267953	9606.ENSP00000263341	0	0	0	0	0.433	0	0	0.455	0.678
BCL2A1	STAT3	9606.ENSP00000267953	9606.ENSP00000264657	0	0	0	0	0	0.069	0	0.517	0.531
BCL2A1	PPARA	9606.ENSP00000267953	9606.ENSP00000385523	0	0	0	0	0	0.057	0	0.392	0.402
BCL2A1	ITGAM	9606.ENSP00000267953	9606.ENSP00000441691	0	0	0	0	0.303	0	0	0.193	0.414
BCL2A1	JUN	9606.ENSP00000267953	9606.ENSP00000360266	0	0	0	0	0	0	0	0.414	0.414
BCL2A1	MT1E	9606.ENSP00000267953	9606.ENSP00000307706	0	0	0	0	0	0	0	0.421	0.420
BCL2A1	TLR4	9606.ENSP00000267953	9606.ENSP00000363089	0	0	0	0	0.247	0	0	0.281	0.436
BCL2A1	CCL20	9606.ENSP00000267953	9606.ENSP00000351671	0	0	0	0	0.266	0	0	0.265	0.437
BCL2A1	SREBF1	9606.ENSP00000267953	9606.ENSP00000348069	0	0	0	0	0	0	0	0.467	0.467
BCL2A1	IL6	9606.ENSP00000267953	9606.ENSP00000385675	0	0	0	0	0.109	0	0	0.464	0.502
BCL2A1	CASP1	9606.ENSP00000267953	9606.ENSP00000433138	0	0	0	0	0.347	0.178	0	0.337	0.613
BCL2A1	CYCS	9606.ENSP00000267953	9606.ENSP00000307786	0	0	0	0	0	0.056	0	0.622	0.628
BCL2A1	TNF	9606.ENSP00000267953	9606.ENSP00000398698	0	0	0	0	0.347	0.059	0	0.517	0.677
BMP2	DCN	9606.ENSP00000368104	9606.ENSP00000052754	0	0	0	0	0.062	0.056	0	0.499	0.517
BMP2	TGFB1	9606.ENSP00000368104	9606.ENSP00000221930	0	0	0	0.606	0	0.213	0	0.719	0.432
BMP2	SOX9	9606.ENSP00000368104	9606.ENSP00000245479	0	0	0	0	0.065	0.077	0	0.861	0.870
BMP2	IL1A	9606.ENSP00000368104	9606.ENSP00000263339	0	0	0	0	0.062	0	0	0.470	0.482
BMP2	IL1B	9606.ENSP00000368104	9606.ENSP00000263341	0	0	0	0	0	0	0	0.595	0.595
BMP2	STAT3	9606.ENSP00000368104	9606.ENSP00000264657	0	0	0	0	0	0.077	0	0.422	0.443
BMP2	PPARG	9606.ENSP00000368104	9606.ENSP00000287820	0	0	0	0	0	0	0	0.529	0.529
BMP2	COL1A2	9606.ENSP00000368104	9606.ENSP00000297268	0	0	0	0	0.062	0.080	0	0.521	0.552
BMP2	IGF1	9606.ENSP00000368104	9606.ENSP00000302665	0	0	0	0	0.062	0	0	0.870	0.874
BMP2	COL3A1	9606.ENSP00000368104	9606.ENSP00000304408	0	0	0	0	0.069	0.213	0	0.342	0.476
BMP2	COL10A1	9606.ENSP00000368104	9606.ENSP00000327368	0	0	0	0	0	0	0	0.519	0.519
BMP2	SMOC1	9606.ENSP00000368104	9606.ENSP00000355110	0	0	0	0	0.062	0	0	0.449	0.461
BMP2	JUN	9606.ENSP00000368104	9606.ENSP00000360266	0	0	0	0	0	0	0	0.514	0.514
BMP2	COL5A1	9606.ENSP00000368104	9606.ENSP00000360882	0	0	0	0	0.077	0.213	0	0.255	0.411
BMP2	RHOA	9606.ENSP00000368104	9606.ENSP00000400175	0	0	0	0	0	0.056	0	0.429	0.438
BMP2	IL6	9606.ENSP00000368104	9606.ENSP00000385675	0	0	0	0	0.065	0	0	0.561	0.571
BMP2	TNF	9606.ENSP00000368104	9606.ENSP00000398698	0	0	0	0	0	0	0	0.609	0.609
BMP2	GPC3	9606.ENSP00000368104	9606.ENSP00000377836	0	0	0	0	0.080	0.401	0	0.448	0.669
BMP2	CXCL12	9606.ENSP00000368104	9606.ENSP00000379140	0	0	0	0	0	0	0	0.695	0.695
BMP2	SPP1	9606.ENSP00000368104	9606.ENSP00000378517	0	0	0	0	0	0	0	0.835	0.835
BNIP3L	MUL1	9606.ENSP00000370003	9606.ENSP00000264198	0	0	0	0	0	0	0	0.549	0.549
BNIP3L	PPARGC1A	9606.ENSP00000370003	9606.ENSP00000264867	0	0	0	0	0	0	0	0.507	0.508
BNIP3L	SMCO4	9606.ENSP00000370003	9606.ENSP00000298966	0	0	0	0	0	0.462	0	0	0.461
BNIP3L	CYCS	9606.ENSP00000370003	9606.ENSP00000307786	0	0	0	0	0	0	0	0.465	0.465
BNIP3L	OPTN	9606.ENSP00000370003	9606.ENSP00000368022	0	0	0	0	0.077	0	0	0.659	0.672
BOLA2	BPTF	9606.ENSP00000331127	9606.ENSP00000307208	0	0	0	0	0.266	0.203	0	0.058	0.400
BOLA2	KRTCAP3	9606.ENSP00000331127	9606.ENSP00000442400	0	0	0	0	0	0	0	0.406	0.406
BOLA2	UBR4	9606.ENSP00000331127	9606.ENSP00000364403	0	0	0	0	0.458	0	0	0.063	0.470
BPTF	TFAP4	9606.ENSP00000307208	9606.ENSP00000204517	0	0	0	0	0	0.835	0	0.111	0.847
BPTF	SIRT1	9606.ENSP00000307208	9606.ENSP00000212015	0	0	0	0	0.442	0.139	0	0.185	0.574
BPTF	NCOR1	9606.ENSP00000307208	9606.ENSP00000268712	0	0	0	0	0.271	0.833	0	0.247	0.901
BPTF	BUB1	9606.ENSP00000307208	9606.ENSP00000302530	0	0	0	0	0.066	0.689	0	0	0.697
BPTF	PLD1	9606.ENSP00000307208	9606.ENSP00000342793	0	0	0	0	0.062	0	0	0.392	0.405
BPTF	UHRF1	9606.ENSP00000307208	9606.ENSP00000479617	0	0	0	0	0.062	0	0	0.396	0.409
BPTF	MORF4L2	9606.ENSP00000307208	9606.ENSP00000394417	0	0	0	0	0.261	0.151	0	0.150	0.420
BPTF	WSB2	9606.ENSP00000307208	9606.ENSP00000409131	0	0	0	0	0.062	0.368	0	0.138	0.444
BPTF	RAN	9606.ENSP00000307208	9606.ENSP00000446215	0	0	0	0	0.062	0.056	0	0.434	0.455
BPTF	IGFALS	9606.ENSP00000307208	9606.ENSP00000416683	0	0	0	0	0.062	0.056	0	0.454	0.474
BPTF	UBE2Z	9606.ENSP00000307208	9606.ENSP00000354201	0	0	0	0	0.146	0.077	0	0.390	0.477
BPTF	HDAC8	9606.ENSP00000307208	9606.ENSP00000362674	0	0	0	0	0.068	0.171	0	0.380	0.479
BPTF	SCAF1	9606.ENSP00000307208	9606.ENSP00000353769	0	0	0	0	0.463	0	0	0.077	0.483
BPTF	H2AFY	9606.ENSP00000307208	9606.ENSP00000423563	0	0	0	0	0	0.421	0	0.202	0.518
BPTF	ING5	9606.ENSP00000307208	9606.ENSP00000322142	0	0	0	0	0.084	0.166	0	0.472	0.561
BPTF	MED13	9606.ENSP00000307208	9606.ENSP00000380888	0	0	0	0	0.562	0.065	0	0.191	0.640
BPTF	TOP2A	9606.ENSP00000307208	9606.ENSP00000411532	0	0	0	0	0.561	0.195	0	0.100	0.654
BPTF	HFE	9606.ENSP00000307208	9606.ENSP00000417404	0	0	0	0	0	0.660	0	0.114	0.685
BPTF	RAD54L2	9606.ENSP00000307208	9606.ENSP00000386520	0	0	0	0	0.083	0.696	0	0.137	0.738
BPTF	CHD2	9606.ENSP00000307208	9606.ENSP00000377747	0	0	0	0	0.247	0.696	0	0.205	0.802
BPTF	SHPRH	9606.ENSP00000307208	9606.ENSP00000356475	0	0	0	0	0.563	0.696	0	0.137	0.875
BPTF	HELLS	9606.ENSP00000307208	9606.ENSP00000377601	0	0	0	0	0.104	0.941	0	0.185	0.953
BPTF	HIST1H3A	9606.ENSP00000307208	9606.ENSP00000480826	0	0	0	0	0	0.948	0	0.159	0.955
BPTF	PPA1	9606.ENSP00000307208	9606.ENSP00000362329	0	0	0	0	0	0.914	0	0.549	0.959
BSG	MAPK1	9606.ENSP00000333769	9606.ENSP00000215832	0	0	0	0	0.070	0	0.900	0.058	0.904
BSG	TGFB1	9606.ENSP00000333769	9606.ENSP00000221930	0	0	0	0	0	0	0	0.421	0.421
BSG	RAP2A	9606.ENSP00000333769	9606.ENSP00000245304	0	0	0	0	0	0	0	0.709	0.709
BSG	LGALS3	9606.ENSP00000333769	9606.ENSP00000254301	0	0	0	0	0	0.270	0	0.899	0.923
BSG	LYVE1	9606.ENSP00000333769	9606.ENSP00000256178	0	0	0	0	0	0	0	0.888	0.888
BSG	EPCAM	9606.ENSP00000333769	9606.ENSP00000263735	0	0	0	0	0	0	0	0.424	0.424
BSG	TSPAN3	9606.ENSP00000333769	9606.ENSP00000267970	0	0	0	0	0.106	0	0	0.565	0.595
BSG	PPIC	9606.ENSP00000333769	9606.ENSP00000303057	0	0	0	0	0.062	0.056	0	0.508	0.526
BSG	SLC16A10	9606.ENSP00000333769	9606.ENSP00000357844	0	0	0	0	0	0	0	0.400	0.400
BSG	NRAS	9606.ENSP00000333769	9606.ENSP00000358548	0	0	0	0	0.062	0.432	0	0.071	0.462
BSG	HTR2A	9606.ENSP00000333769	9606.ENSP00000437737	0	0	0	0	0	0	0	0.538	0.538
BSG	ITGA6	9606.ENSP00000333769	9606.ENSP00000386896	0	0	0	0	0.062	0	0.600	0.282	0.707
BSG	SLC2A1	9606.ENSP00000333769	9606.ENSP00000416293	0	0	0	0	0.086	0	0	0.702	0.717
BUB1	HSPB11	9606.ENSP00000302530	9606.ENSP00000194214	0	0	0	0	0.185	0.159	0	0.230	0.426
BUB1	OIP5	9606.ENSP00000302530	9606.ENSP00000220514	0	0	0	0	0.899	0	0	0.261	0.922
BUB1	RAD51AP1	9606.ENSP00000302530	9606.ENSP00000228843	0	0	0	0	0.814	0	0	0.322	0.869
BUB1	MND1	9606.ENSP00000302530	9606.ENSP00000240488	0	0	0	0	0.861	0	0	0.131	0.874
BUB1	TUBG1	9606.ENSP00000302530	9606.ENSP00000251413	0	0	0	0	0.162	0.180	0	0.199	0.402
